'MMS_PEER_SPACE_STAT','MMS_PEER_ANAY','空间分布','/mantoeye/mms/peer/mms_peer_space.jsp?1=1',3,'','0',1,'1','MMS_PEER_SPACE_STAT'
'BB_AREA_ANAY','BASE_BB_MANA','区域','#',1,'','0',1,'1','BB_AREA_ANAY'
'BB_YYS_ANAY','BASE_BB_MANA','运营商','#',2,'','0',1,'1','BB_YYS_ANAY'
'BB_ACTIVE_ANAY','BASE_BB_MANA','活跃用户','#',3,'','0',1,'1','BB_ACTIVE_ANAY'
'BB_COUNTRY_ANAY','BASE_BB_MANA','用户归属','#',4,'','0',1,'1','BB_COUNTRY_ANAY'
'BB_AREA_SPACE_DIST','BB_AREA_ANAY','空间分布','/mantoeye/blackberry/bbarea.jsp?1=1',1,'','0',1,'1','BB_AREA_SPACE_DIST'
'BB_AREA_FLUSH_TOP','BB_AREA_ANAY','流量TOP100小区','/mantoeye/blackberry/top100areaflush.jsp?1=1',2,'','0',1,'1','BB_AREA_FLUSH_TOP'
'BB_YYS_USER_DEST','BB_YYS_ANAY','运营商分布','/mantoeye/blackberry/yysbusiness.jsp?1=1',1,'','0',1,'1','BB_YYS_USER_DEST'
'BB_YYS_SPACE_DEST','BB_YYS_ANAY','空间分布','/mantoeye/blackberry/areayys.jsp?1=1',2,'','0',1,'1','BB_YYS_SPACE_DEST'
'BB_ACTIVE_USER_LIST','BB_ACTIVE_ANAY','活跃用户呈现','/mantoeye/blackberry/active/bb_active.jsp?1=1',1,'','0',1,'1','BB_ACTIVE_USER_LIST'
'BB_ACTIVE_SPACE_DEST','BB_ACTIVE_ANAY','空间分布','/mantoeye/blackberry/active/bb_active_space.jsp?1=1',2,'','0',1,'1','BB_ACTIVE_SPACE_DEST'
'BB_COUNTRY_USER_DEST','BB_COUNTRY_ANAY','用户归属分布','/mantoeye/blackberry/country/bb_country.jsp?1=1',1,'','0',1,'1','BB_COUNTRY_USER_DEST'
'BB_COUNTRY_SPACE_DEST','BB_COUNTRY_ANAY','空间分布','/mantoeye/blackberry/country/bb_country_space.jsp?1=1',2,'','0',1,'1','BB_COUNTRY_SPACE_DEST'
'BB_COUNTRY_USER_TOP','BB_COUNTRY_ANAY','用户数TOP100小区','/mantoeye/blackberry/country/bb_country_top.jsp?1=1',3,'','0',1,'1','BB_COUNTRY_USER_TOP'
'RULE_BUSI_MANA','BASE_RULE_MANA','业务配置','/mantoeye/business_rules/business_site/index.jsp?1=1',1,'','0',1,'1','RULE_BUSI_MANA'
'RULE_MA_MANA','BASE_RULE_MANA','规则配置','#',2,'','0',1,'1','RULE_MA_MANA'
'RULE_TEST_MANA','BASE_RULE_MANA','业务规则拨测维护','/mantoeye/business_rules/ruletest/index.jsp?1=1',3,'','0',1,'1','RULE_TEST_MANA'
'RULE_MAINFLUSH_STAT','BASE_RULE_MANA','流量碰撞率异常统计','/mantoeye/business_rules/mainflush/index.jsp?1=1',4,'\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','RULE_MAINFLUSH_STAT'
'RULE_ASSIST_STAT','RULE_MA_MANA','检验规则异常统计','/mantoeye/business_rules/assiststat/index.jsp?1=1',5,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','RULE_ASSIST_STAT'
'RULE_RECOGNISE_STAT','RULE_MA_MANA','全量业务自发现','/mantoeye/business_rules/recognise/index.jsp?1=1',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','RULE_RECOGNISE_STAT'
'RULE_TOPFLUSH_STAT','BASE_RULE_MANA','业务流量统计排名','/mantoeye/business_rules/topflush/index.jsp?1=1',7,'','0',1,'1','RULE_TOPFLUSH_STAT'
'SYSTEM_USER_MANA','BASE_SYSTEM_MANA','用户管理','/sysdata/user/user_index.jsp?1=1',1,'','0',1,'1','SYSTEM_USER_MANA'
'SYSTEM_ROLE_MANA','BASE_SYSTEM_MANA','角色管理','/sysdata/role/role_index.jsp?1=1',2,'','0',1,'1','SYSTEM_ROLE_MANA'
'SYSTEM_MENU_MANA','BASE_SYSTEM_MANA','模块管理','/sysdata/permis/permis_index.jsp?1=1',3,'','0',1,'1','SYSTEM_MENU_MANA'
'SYSTEM_LOG_MANA','BASE_SYSTEM_MANA','系统日志','/sysdata/logs/log_index.jsp?1=1',4,'','0',1,'1','SYSTEM_LOG_MANA'
'RULE_MA_MAIN_MANA','RULE_MA_MANA','翻译规则配置','/mantoeye/business_rules/vetor/main_index.jsp?1=1',1,'','0',1,'1','RULE_MA_MAIN_MANA'
'RULE_MA_ASSIST_MANA','RULE_MA_MANA','自发现规则配置','/mantoeye/business_rules/vetor/assist_index.jsp?1=1',2,'','0',1,'1','RULE_MA_ASSIST_MANA'
'RULE_MA_MAMAP_MANA','RULE_MA_MANA','检验规则关联','/mantoeye/business_rules/vetor/index.jsp?1=1',4,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','RULE_MA_MAMAP_MANA'
'OFFHAND_DATA_QUERY','BASE_BUSINUSS_MANA','即席查询','/mantoeye/immediately/immediately_query.jsp?1=1',7,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','OFFHAND_DATA_QUERY'
'BIG_USER_MANA_BTN_BLACK','BIG_USER_MANA','[按钮]加入黑名单','#',1,'','0',2,'1','BIG_USER_MANA_BTN_BLACK'
'BIG_BLACK_MANA_BTN_ADD','BIG_BLACK_MANA','[按钮]添加','#',1,'','0',2,'1','BIG_BLACK_MANA_BTN_ADD'
'BIG_BLACK_MANA_BTN_EDIT','BIG_BLACK_MANA','[按钮]编辑','#',2,'','0',2,'1','BIG_BLACK_MANA_BTN_EDIT'
'BIG_BLACK_MANA_BTN_DEL','BIG_BLACK_MANA','[按钮]删除','#',3,'','0',2,'1','BIG_BLACK_MANA_BTN_DEL'
'BIG_FILTER_MANA_BTN_EDIT','BIG_FILTER_MANA','[按钮]修改设置','#',1,'','0',2,'1','BIG_FILTER_MANA_BTN_EDIT'
'SYSTEM_USER_MANA_BTN_ADD','SYSTEM_USER_MANA','[按钮]添加用户','#',1,'','0',2,'1','SYSTEM_USER_MANA_BTN_ADD'
'SYSTEM_USER_MANA_BTN_EDIT','SYSTEM_USER_MANA','[按钮]编辑用户','#',2,'','0',2,'1','SYSTEM_USER_MANA_BTN_EDIT'
'SYSTEM_USER_MANA_BTN_DEL','SYSTEM_USER_MANA','[按钮]删除用户','#',3,'','0',2,'1','SYSTEM_USER_MANA_BTN_DEL'
'SYSTEM_USER_MANA_BTN_ROLE','SYSTEM_USER_MANA','[按钮]权限设置','#',4,'','0',2,'1','SYSTEM_USER_MANA_BTN_ROLE'
'SYSTEM_USER_MANA_BTN_UNMP','SYSTEM_USER_MANA','[按钮]同步用户','#',5,'','0',2,'1','SYSTEM_USER_MANA_BTN_UNMP'
'SYSTEM_ROLE_MANA_BTN_ADD','SYSTEM_ROLE_MANA','[按钮]添加角色','#',1,'','0',2,'1','SYSTEM_ROLE_MANA_BTN_ADD'
'SYSTEM_ROLE_MANA_BTN_EDIT','SYSTEM_ROLE_MANA','[按钮]编辑角色','#',2,'','0',2,'1','SYSTEM_ROLE_MANA_BTN_EDIT'
'SYSTEM_ROLE_MANA_BTN_DEL','SYSTEM_ROLE_MANA','[按钮]删除角色','#',3,'','0',2,'1','SYSTEM_ROLE_MANA_BTN_DEL'
'SYSTEM_ROLE_MANA_BTN_ROLE','SYSTEM_ROLE_MANA','[按钮]权限设置','#',4,'','0',2,'1','SYSTEM_ROLE_MANA_BTN_ROLE'
'SYSTEM_MENU_MANA_BTN_ADD','SYSTEM_MENU_MANA','[按钮]添加模块','#',1,'','0',2,'1','SYSTEM_MENU_MANA_BTN_ADD'
'SYSTEM_MENU_MANA_BTN_EDIT','SYSTEM_MENU_MANA','[按钮]编辑模块','#',2,'','0',2,'1','SYSTEM_MENU_MANA_BTN_EDIT'
'SYSTEM_MENU_MANA_BTN_DEL','SYSTEM_MENU_MANA','[按钮]删除模块','#',3,'','0',2,'1','SYSTEM_MENU_MANA_BTN_DEL'
'SYSTEM_LOG_MANA_BTN_DEL','SYSTEM_LOG_MANA','[按钮]删除日志','#',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',2,'1','SYSTEM_LOG_MANA_BTN_DEL'
'CATCH_HISBASE_DATA_BTN_ADD','CATCH_HISBASE_DATA','[按钮]添加任务','#',1,'','0',2,'1','CATCH_HISBASE_DATA_BTN_ADD'
'CATCH_HISBASE_DATA_BTN_EDIT','CATCH_HISBASE_DATA','[按钮]编辑任务','#',2,'','0',2,'1','CATCH_HISBASE_DATA_BTN_EDIT'
'CATCH_HISBASE_DATA_BTN_PAUSE','CATCH_HISBASE_DATA','[按钮]停止任务','#',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',2,'1','CATCH_HISBASE_DATA_BTN_PAUSE'
'CATCH_HISBASE_DATA_BTN_DEL','CATCH_HISBASE_DATA','[按钮]删除任务','#',4,'','0',2,'1','CATCH_HISBASE_DATA_BTN_DEL'
'CATCH_CURRBASE_DATA_BTN_ADD','CATCH_CURRBASE_DATA','[按钮]添加任务','#',1,'','0',2,'1','CATCH_CURRBASE_DATA_BTN_ADD'
'CATCH_CURRBASE_DATA_BTN_EDIT','CATCH_CURRBASE_DATA','[按钮]编辑任务','#',2,'','0',2,'1','CATCH_CURRBASE_DATA_BTN_EDIT'
'CATCH_CURRBASE_DATA_BTN_PAUSE','CATCH_CURRBASE_DATA','[按钮]停止任务','#',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',2,'1','CATCH_CURRBASE_DATA_BTN_PAUSE'
'CATCH_CURRBASE_DATA_BTN_DEL','CATCH_CURRBASE_DATA','[按钮]删除任务','#',4,'','0',2,'1','CATCH_CURRBASE_DATA_BTN_DEL'
